Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Sub-Category,Sales,Discount,Profit,is_profitable,Order_Year,Order_Month,Order_DayOfWeek,Order_Quarter,Is_EndOfYear,Delivery_Days,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,Quarter_sin,Quarter_cos,State_Avg_Sales,Category_Avg_Sales,High_Discount
2016-09-05,2016-09-07,Second Class,JD-15895,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furnishings,82.8,0.2,10.35,1,2016,9,0,3,0,2,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,76.22222222222223,98.45908322663252,0
2014-10-22,2014-10-28,Standard Class,MG-17680,Home Office,Newark,Ohio,East,FUR-FU-10000521,Furnishings,93.888,0.2,12.9096,1,2014,10,2,4,0,6,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,74.18021052631579,98.45908322663252,0
2016-12-05,2016-12-09,Standard Class,JE-16165,Corporate,Franklin,Wisconsin,Central,FUR-CH-10000454,Chairs,1951.84,0.0,585.552,1,2016,12,0,4,1,4,0.0,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,539.2690625,610.1385110497238,0
2014-03-01,2014-03-06,Second Class,DB-13060,Consumer,Seattle,Washington,West,FUR-CH-10004063,Chairs,457.568,0.2,51.4764,1,2014,3,5,1,0,5,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,435.3106534653465,610.1385110497238,0
2014-08-05,2014-08-09,Standard Class,CS-12130,Consumer,Los Angeles,California,West,FUR-CH-10003817,Chairs,340.144,0.2,21.259,1,2014,8,1,3,0,4,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,333.32167002881846,610.1385110497238,0
2015-10-12,2015-10-14,First Class,MP-17470,Home Office,New York City,New York,East,FUR-BO-10002613,Bookcases,899.136,0.2,112.392,1,2015,10,0,4,0,2,0.0,1.0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,353.64750793650796,567.2388333333333,0
2015-10-12,2015-10-14,First Class,MP-17470,Home Office,New York City,New York,East,FUR-BO-10002545,Bookcases,626.352,0.2,46.9764,1,2015,10,0,4,0,2,0.0,1.0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,353.64750793650796,567.2388333333333,0
2017-06-03,2017-06-07,Standard Class,HK-14890,Corporate,Franklin,Tennessee,South,FUR-FU-10002960,Furnishings,35.168,0.2,9.6712,1,2017,6,5,2,0,4,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,175.9742857142857,98.45908322663252,0
2015-12-24,2015-12-27,First Class,JB-15925,Consumer,Dublin,Ohio,East,FUR-FU-10000087,Furnishings,72.704,0.2,19.0848,1,2015,12,3,4,1,3,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,74.18021052631579,98.45908322663252,0
2015-08-09,2015-08-16,Standard Class,DS-13180,Corporate,Detroit,Michigan,Central,FUR-TA-10003748,Tables,622.45,0.0,136.939,1,2015,8,6,3,0,7,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,446.42199999999997,885.8187105263157,0
2015-02-28,2015-03-04,Standard Class,VD-21670,Consumer,Columbia,Tennessee,South,FUR-CH-10004477,Chairs,389.696,0.2,43.8408,1,2015,2,5,1,0,4,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,175.9742857142857,610.1385110497238,0
2014-06-01,2014-06-06,Second Class,DW-13480,Home Office,Lakeville,Minnesota,Central,FUR-CH-10004063,Chairs,2001.86,0.0,580.5394,1,2014,6,6,2,0,5,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,585.4884615384616,610.1385110497238,0
2016-12-10,2016-12-15,Second Class,LH-17155,Consumer,San Francisco,California,West,FUR-CH-10002965,Chairs,321.568,0.2,28.1372,1,2016,12,5,4,1,5,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,333.32167002881846,610.1385110497238,0
2015-07-30,2015-07-31,First Class,HA-14920,Consumer,San Francisco,California,West,FUR-FU-10003274,Furnishings,5.28,0.0,2.3232,1,2015,7,3,3,0,1,0.43388373911755823,-0.900968867902419,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,333.32167002881846,98.45908322663252,0
2015-11-02,2015-11-06,Standard Class,JO-15280,Consumer,Los Angeles,California,West,FUR-TA-10002903,Tables,1038.84,0.2,51.942,1,2015,11,0,4,0,4,0.0,1.0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,333.32167002881846,885.8187105263157,0
2014-12-26,2014-12-28,First Class,KL-16555,Corporate,Colorado Springs,Colorado,West,FUR-FU-10004091,Furnishings,300.416,0.2,78.8592,1,2014,12,4,4,1,2,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,248.28575,98.45908322663252,0
2014-12-26,2014-12-28,First Class,KL-16555,Corporate,Colorado Springs,Colorado,West,FUR-CH-10001891,Chairs,230.352,0.2,20.1558,1,2014,12,4,4,1,2,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,248.28575,610.1385110497238,0
2016-10-28,2016-11-03,Standard Class,JD-15895,Corporate,Belleville,New Jersey,East,FUR-FU-10001861,Furnishings,77.6,0.0,38.024,1,2016,10,4,4,0,6,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,245.36458333333334,98.45908322663252,0
2015-05-04,2015-05-09,Second Class,AS-10225,Corporate,New York City,New York,East,FUR-FU-10002671,Furnishings,26.8,0.0,12.864,1,2015,5,0,2,0,5,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,353.64750793650796,98.45908322663252,0
2016-09-12,2016-09-14,Second Class,BP-11185,Corporate,Arvada,Colorado,West,FUR-FU-10001918,Furnishings,15.136,0.2,3.5948,1,2016,9,0,3,0,2,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,248.28575,98.45908322663252,0
2016-09-12,2016-09-14,Second Class,BP-11185,Corporate,Arvada,Colorado,West,FUR-CH-10004086,Chairs,466.768,0.2,52.5114,1,2016,9,0,3,0,2,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,248.28575,610.1385110497238,0
2016-09-12,2016-09-14,Second Class,BP-11185,Corporate,Arvada,Colorado,West,FUR-FU-10001756,Furnishings,15.232,0.2,1.7136,1,2016,9,0,3,0,2,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,248.28575,98.45908322663252,0
2014-09-27,2014-10-03,Standard Class,TS-21205,Corporate,Hackensack,New Jersey,East,FUR-FU-10001588,Furnishings,87.54,0.0,37.6422,1,2014,9,5,3,0,6,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,245.36458333333334,98.45908322663252,0
2014-11-04,2014-11-09,Standard Class,NM-18445,Home Office,New York City,New York,East,FUR-CH-10002602,Chairs,135.882,0.1,24.1568,1,2014,11,1,4,0,5,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,353.64750793650796,610.1385110497238,0
2017-11-03,2017-11-05,Second Class,DJ-13510,Corporate,Murfreesboro,Tennessee,South,FUR-FU-10001967,Furnishings,15.992,0.2,0.9995,1,2017,11,4,4,0,2,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,175.9742857142857,98.45908322663252,0
2017-09-25,2017-10-01,Standard Class,KW-16435,Consumer,New York City,New York,East,FUR-CH-10000785,Chairs,488.646,0.1,86.8704,1,2017,9,0,3,0,6,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,353.64750793650796,610.1385110497238,0
2017-09-25,2017-10-01,Standard Class,KW-16435,Consumer,New York City,New York,East,FUR-FU-10000023,Furnishings,47.12,0.0,20.7328,1,2017,9,0,3,0,6,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,353.64750793650796,98.45908322663252,0
2016-10-21,2016-10-21,Same Day,MK-17905,Corporate,Manchester,Connecticut,East,FUR-BO-10002545,Bookcases,1043.92,0.0,271.4192,1,2016,10,4,4,0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,447.51181818181817,567.2388333333333,0
2015-12-03,2015-12-07,Standard Class,DK-13225,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10001935,Furnishings,2.96,0.2,0.777,1,2015,12,3,4,1,4,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,76.22222222222223,98.45908322663252,0
2017-12-08,2017-12-12,Standard Class,KH-16510,Consumer,San Francisco,California,West,FUR-BO-10001972,Bookcases,1336.829,0.15,31.4548,1,2017,12,4,4,1,4,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,333.32167002881846,567.2388333333333,0
2017-11-03,2017-11-07,Standard Class,KC-16675,Corporate,Seattle,Washington,West,FUR-CH-10001891,Chairs,307.136,0.2,26.8744,1,2017,11,4,4,0,4,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,435.3106534653465,610.1385110497238,0
2016-04-14,2016-04-18,Standard Class,PB-19150,Consumer,Los Angeles,California,West,FUR-CH-10004886,Chairs,383.8,0.2,38.38,1,2016,4,3,2,0,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,333.32167002881846,610.1385110497238,0
2017-10-19,2017-10-23,Standard Class,MP-17965,Corporate,Lawrence,Massachusetts,East,FUR-FU-10004712,Furnishings,56.56,0.0,14.7056,1,2017,10,3,4,0,4,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,266.5805555555556,98.45908322663252,0
2017-08-21,2017-08-23,Second Class,NF-18385,Consumer,Jackson,Mississippi,South,FUR-CH-10000015,Chairs,866.4,0.0,225.264,1,2017,8,0,3,0,2,0.0,1.0,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,479.7611111111112,610.1385110497238,0
2017-11-23,2017-11-26,Second Class,JM-15265,Corporate,Canton,Michigan,Central,FUR-FU-10003347,Furnishings,28.4,0.0,11.076,1,2017,11,3,4,0,3,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,446.42199999999997,98.45908322663252,0
2017-01-20,2017-01-23,Second Class,CV-12805,Corporate,New York City,New York,East,FUR-CH-10003396,Chairs,207.846,0.1,2.3094,1,2017,1,4,1,0,3,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,353.64750793650796,610.1385110497238,0
2016-09-05,2016-09-07,Second Class,PK-19075,Consumer,Detroit,Michigan,Central,FUR-FU-10000246,Furnishings,12.22,0.0,3.666,1,2016,9,0,3,0,2,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,446.42199999999997,98.45908322663252,0
2016-09-05,2016-09-07,Second Class,PK-19075,Consumer,Detroit,Michigan,Central,FUR-CH-10002372,Chairs,242.94,0.0,29.1528,1,2016,9,0,3,0,2,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,446.42199999999997,610.1385110497238,0
2017-03-20,2017-03-25,Second Class,TB-21595,Consumer,Columbus,Indiana,Central,FUR-FU-10000206,Furnishings,2.91,0.0,1.3677,1,2017,3,0,1,0,5,0.0,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,499.85695652173916,98.45908322663252,0
2016-04-22,2016-04-29,Standard Class,TN-21040,Home Office,Phoenix,Arizona,West,FUR-FU-10000023,Furnishings,23.56,0.2,7.068,1,2016,4,4,2,0,7,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,218.76444444444442,98.45908322663252,0
2014-11-09,2014-11-11,Second Class,JP-15520,Consumer,San Francisco,California,West,FUR-BO-10001601,Bookcases,222.666,0.15,10.4784,1,2014,11,6,4,0,2,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,333.32167002881846,567.2388333333333,0
2016-10-27,2016-11-02,Standard Class,JE-15475,Consumer,Troy,New York,East,FUR-FU-10002671,Furnishings,40.2,0.0,19.296,1,2016,10,3,4,0,6,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,353.64750793650796,98.45908322663252,0
2016-07-25,2016-07-31,Standard Class,SC-20095,Consumer,Costa Mesa,California,West,FUR-FU-10004864,Furnishings,255.76,0.0,81.8432,1,2016,7,0,3,0,6,0.0,1.0,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,333.32167002881846,98.45908322663252,0
2016-07-25,2016-07-31,Standard Class,SC-20095,Consumer,Costa Mesa,California,West,FUR-CH-10002602,Chairs,241.568,0.2,18.1176,1,2016,7,0,3,0,6,0.0,1.0,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,333.32167002881846,610.1385110497238,0
2016-07-25,2016-07-31,Standard Class,SC-20095,Consumer,Costa Mesa,California,West,FUR-FU-10000073,Furnishings,69.3,0.0,22.869,1,2016,7,0,3,0,6,0.0,1.0,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,333.32167002881846,98.45908322663252,0
2016-05-30,2016-06-04,Standard Class,MY-17380,Corporate,Parker,Colorado,West,FUR-CH-10001215,Chairs,801.568,0.2,50.098,1,2016,5,0,2,0,5,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,248.28575,610.1385110497238,0
2017-11-26,2017-11-27,First Class,LS-17245,Consumer,Gladstone,Missouri,Central,FUR-FU-10001290,Furnishings,126.3,0.0,40.416,1,2017,11,6,4,0,1,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,266.95,98.45908322663252,0
2017-01-23,2017-01-25,First Class,MC-17605,Corporate,Detroit,Michigan,Central,FUR-TA-10001857,Tables,210.98,0.0,21.098,1,2017,1,0,1,0,2,0.0,1.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,446.42199999999997,885.8187105263157,0
2017-10-21,2017-10-26,Standard Class,PH-18790,Home Office,Lakeland,Florida,South,FUR-CH-10003379,Chairs,683.952,0.2,42.747,1,2017,10,5,4,0,5,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,157.69615384615386,610.1385110497238,0
2017-10-21,2017-10-26,Standard Class,PH-18790,Home Office,Lakeland,Florida,South,FUR-FU-10001756,Furnishings,45.696,0.2,5.1408,1,2017,10,5,4,0,5,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,157.69615384615386,98.45908322663252,0
2015-11-07,2015-11-09,Second Class,KB-16240,Corporate,Los Angeles,California,West,FUR-CH-10000595,Chairs,190.72,0.2,11.92,1,2015,11,5,4,0,2,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,333.32167002881846,610.1385110497238,0
2017-09-07,2017-09-11,Standard Class,JC-15340,Consumer,Los Angeles,California,West,FUR-FU-10000448,Furnishings,47.94,0.0,2.397,1,2017,9,3,3,0,4,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,333.32167002881846,98.45908322663252,0
2015-12-07,2015-12-11,Standard Class,DK-12985,Consumer,Henderson,Kentucky,South,FUR-CH-10002647,Chairs,283.92,0.0,70.98,1,2015,12,0,4,1,4,0.0,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,404.228,610.1385110497238,0
2017-09-11,2017-09-12,First Class,RC-19960,Consumer,Jacksonville,Florida,South,FUR-FU-10003039,Furnishings,34.504,0.2,6.0382,1,2017,9,0,3,0,1,0.0,1.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,157.69615384615386,98.45908322663252,0
2017-11-20,2017-11-22,Second Class,LP-17080,Consumer,San Francisco,California,West,FUR-FU-10003347,Furnishings,42.6,0.0,16.614,1,2017,11,0,4,0,2,0.0,1.0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,333.32167002881846,98.45908322663252,0
2014-09-14,2014-09-18,Second Class,CA-12775,Consumer,Tampa,Florida,South,FUR-FU-10004020,Furnishings,13.128,0.2,3.7743,1,2014,9,6,3,0,4,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,157.69615384615386,98.45908322663252,0
2015-07-03,2015-07-09,Standard Class,BD-11725,Consumer,Richmond,Kentucky,South,FUR-CH-10003956,Chairs,70.98,0.0,4.9686,1,2015,7,4,3,0,6,-0.433883739117558,-0.9009688679024191,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,404.228,610.1385110497238,0
2014-08-08,2014-08-15,Standard Class,LR-16915,Consumer,San Diego,California,West,FUR-FU-10001979,Furnishings,327.76,0.0,91.7728,1,2014,8,4,3,0,7,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,333.32167002881846,98.45908322663252,0
2014-03-15,2014-03-19,Standard Class,AS-10240,Consumer,Tampa,Florida,South,FUR-FU-10001756,Furnishings,45.696,0.2,5.1408,1,2014,3,5,1,0,4,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,157.69615384615386,98.45908322663252,0
2017-08-18,2017-08-23,Second Class,NG-18355,Corporate,New York City,New York,East,FUR-FU-10003849,Furnishings,40.48,0.0,15.7872,1,2017,8,4,3,0,5,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,353.64750793650796,98.45908322663252,0
2017-08-18,2017-08-23,Second Class,NG-18355,Corporate,New York City,New York,East,FUR-FU-10000010,Furnishings,9.94,0.0,3.0814,1,2017,8,4,3,0,5,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,353.64750793650796,98.45908322663252,0
2017-08-18,2017-08-23,Second Class,NG-18355,Corporate,New York City,New York,East,FUR-FU-10000521,Furnishings,88.02,0.0,27.2862,1,2017,8,4,3,0,5,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,353.64750793650796,98.45908322663252,0
2015-11-29,2015-12-03,Standard Class,SF-20965,Corporate,Dearborn,Michigan,Central,FUR-CH-10004853,Chairs,301.96,0.0,87.5684,1,2015,11,6,4,0,4,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,446.42199999999997,610.1385110497238,0
2017-09-15,2017-09-19,Standard Class,MO-17800,Home Office,New York City,New York,East,FUR-FU-10000221,Furnishings,35.56,0.0,12.0904,1,2017,9,4,3,0,4,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,353.64750793650796,98.45908322663252,0
2015-10-04,2015-10-09,Second Class,DJ-13420,Corporate,Warner Robins,Georgia,South,FUR-CH-10001482,Chairs,392.94,0.0,43.2234,1,2015,10,6,4,0,5,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,260.04625,610.1385110497238,0
2016-05-20,2016-05-25,Standard Class,RB-19465,Home Office,Vallejo,California,West,FUR-FU-10000576,Furnishings,1049.2,0.0,272.792,1,2016,5,4,2,0,5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,333.32167002881846,98.45908322663252,0
2016-12-18,2016-12-22,Standard Class,JD-16150,Corporate,Minneapolis,Minnesota,Central,FUR-FU-10000732,Furnishings,18.84,0.0,6.0288,1,2016,12,6,4,1,4,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,585.4884615384616,98.45908322663252,0
2016-12-11,2016-12-16,Second Class,AR-10825,Corporate,Vancouver,Washington,West,FUR-FU-10001935,Furnishings,14.8,0.0,6.068,1,2016,12,6,4,1,5,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,435.3106534653465,98.45908322663252,0
