Sales,Discount,Order_Year,Order_Month,Order_DayOfWeek,Order_Quarter,Is_EndOfYear,Delivery_Days,Ship Mode,Segment,City,Region,Sub-Category,State,Product ID,Customer ID,is_profitable
102.36,0.2,2015,11,4,4,0,4,Standard Class,Consumer,Aurora,West,Furnishings,Colorado,FUR-FU-10004006,LC-16870,0
41.96,0.0,2017,12,0,4,1,5,Standard Class,Corporate,New York City,East,Furnishings,New York,FUR-FU-10001934,CV-12805,1
787.53,0.0,2015,3,0,1,0,4,Standard Class,Consumer,Seattle,West,Tables,Washington,FUR-TA-10001768,DK-13090,1
47.04,0.0,2016,6,6,2,0,3,First Class,Consumer,Wilmington,East,Furnishings,Delaware,FUR-FU-10002157,SC-20725,1
600.558,0.3,2014,12,4,4,1,2,Second Class,Home Office,Houston,Central,Chairs,Texas,FUR-CH-10004063,AD-10180,0
617.7,0.5,2014,9,5,3,0,5,Standard Class,Consumer,Bloomington,Central,Tables,Illinois,FUR-TA-10004534,PF-19165,0
81.424,0.2,2016,11,6,4,0,4,Second Class,Home Office,Los Angeles,West,Chairs,California,FUR-CH-10001146,LS-16975,0
238.56,0.0,2016,11,6,4,0,4,Second Class,Home Office,Los Angeles,West,Furnishings,California,FUR-FU-10003773,LS-16975,1
43.12,0.0,2016,10,3,4,0,6,Standard Class,Consumer,Roseville,West,Furnishings,California,FUR-FU-10001706,LC-16885,1
82.8,0.2,2016,9,0,3,0,2,Second Class,Corporate,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10004848,JD-15895,1
93.888,0.2,2014,10,2,4,0,6,Standard Class,Home Office,Newark,East,Furnishings,Ohio,FUR-FU-10000521,MG-17680,1
1951.84,0.0,2016,12,0,4,1,4,Standard Class,Corporate,Franklin,Central,Chairs,Wisconsin,FUR-CH-10000454,JE-16165,1
457.568,0.2,2014,3,5,1,0,5,Second Class,Consumer,Seattle,West,Chairs,Washington,FUR-CH-10004063,DB-13060,1
1740.06,0.3,2014,9,0,3,0,4,Standard Class,Consumer,San Antonio,Central,Chairs,Texas,FUR-CH-10004287,BM-11140,0
340.144,0.2,2014,8,1,3,0,4,Standard Class,Consumer,Los Angeles,West,Chairs,California,FUR-CH-10003817,CS-12130,1
396.802,0.3,2015,11,5,4,0,2,Second Class,Consumer,Newark,East,Chairs,Ohio,FUR-CH-10004698,JE-15745,0
899.136,0.2,2015,10,0,4,0,2,First Class,Home Office,New York City,East,Bookcases,New York,FUR-BO-10002613,MP-17470,1
626.352,0.2,2015,10,0,4,0,2,First Class,Home Office,New York City,East,Bookcases,New York,FUR-BO-10002545,MP-17470,1
218.75,0.5,2014,8,6,3,0,2,First Class,Consumer,Denver,West,Tables,Colorado,FUR-TA-10004289,BS-11755,0
35.168,0.2,2017,6,5,2,0,4,Standard Class,Corporate,Franklin,South,Furnishings,Tennessee,FUR-FU-10002960,HK-14890,1
452.45,0.5,2015,1,4,1,0,7,Standard Class,Corporate,Medina,East,Bookcases,Ohio,FUR-BO-10004695,VW-21775,0
72.704,0.2,2015,12,3,4,1,3,First Class,Consumer,Dublin,East,Furnishings,Ohio,FUR-FU-10000087,JB-15925,1
622.45,0.0,2015,8,6,3,0,7,Standard Class,Corporate,Detroit,Central,Tables,Michigan,FUR-TA-10003748,DS-13180,1
161.568,0.2,2015,2,5,1,0,4,Standard Class,Consumer,Columbia,South,Chairs,Tennessee,FUR-CH-10004860,VD-21670,0
389.696,0.2,2015,2,5,1,0,4,Standard Class,Consumer,Columbia,South,Chairs,Tennessee,FUR-CH-10004477,VD-21670,1
233.86,0.45,2017,4,4,2,0,5,Standard Class,Home Office,Tampa,South,Tables,Florida,FUR-TA-10001705,CS-12400,0
620.6145,0.45,2017,4,4,2,0,5,Standard Class,Home Office,Tampa,South,Tables,Florida,FUR-TA-10003473,CS-12400,0
258.072,0.2,2017,4,4,2,0,5,Standard Class,Home Office,Tampa,South,Furnishings,Florida,FUR-FU-10004017,CS-12400,0
419.68,0.6,2016,6,5,2,0,5,Second Class,Consumer,Chicago,Central,Furnishings,Illinois,FUR-FU-10000576,KL-16645,0
11.688,0.6,2016,6,5,2,0,5,Second Class,Consumer,Chicago,Central,Furnishings,Illinois,FUR-FU-10004351,KL-16645,0
177.225,0.5,2016,6,5,2,0,5,Second Class,Consumer,Chicago,Central,Tables,Illinois,FUR-TA-10002607,KL-16645,0
4.044,0.6,2016,6,5,2,0,5,Second Class,Consumer,Chicago,Central,Furnishings,Illinois,FUR-FU-10002505,KL-16645,0
2001.86,0.0,2014,6,6,2,0,5,Second Class,Home Office,Lakeville,Central,Chairs,Minnesota,FUR-CH-10004063,DW-13480,1
321.568,0.2,2016,12,5,4,1,5,Second Class,Consumer,San Francisco,West,Chairs,California,FUR-CH-10002965,LH-17155,1
12.132,0.6,2015,11,5,4,0,6,Standard Class,Corporate,Chicago,Central,Furnishings,Illinois,FUR-FU-10002505,DR-12880,0
5.28,0.0,2015,7,3,3,0,1,First Class,Consumer,San Francisco,West,Furnishings,California,FUR-FU-10003274,HA-14920,1
1038.84,0.2,2015,11,0,4,0,4,Standard Class,Consumer,Los Angeles,West,Tables,California,FUR-TA-10002903,JO-15280,1
86.97,0.5,2016,11,6,4,0,4,Second Class,Home Office,Columbus,East,Bookcases,Ohio,FUR-BO-10004709,NZ-18565,0
300.416,0.2,2014,12,4,4,1,2,First Class,Corporate,Colorado Springs,West,Furnishings,Colorado,FUR-FU-10004091,KL-16555,1
230.352,0.2,2014,12,4,4,1,2,First Class,Corporate,Colorado Springs,West,Chairs,Colorado,FUR-CH-10001891,KL-16555,1
218.352,0.2,2014,12,4,4,1,2,First Class,Corporate,Colorado Springs,West,Furnishings,Colorado,FUR-FU-10002918,KL-16555,0
77.6,0.0,2016,10,4,4,0,6,Standard Class,Corporate,Belleville,East,Furnishings,New Jersey,FUR-FU-10001861,JD-15895,1
219.075,0.5,2017,11,6,4,0,4,Standard Class,Consumer,Chicago,Central,Tables,Illinois,FUR-TA-10002533,JH-15910,0
26.8,0.0,2015,5,0,2,0,5,Second Class,Corporate,New York City,East,Furnishings,New York,FUR-FU-10002671,AS-10225,1
15.136,0.2,2016,9,0,3,0,2,Second Class,Corporate,Arvada,West,Furnishings,Colorado,FUR-FU-10001918,BP-11185,1
466.768,0.2,2016,9,0,3,0,2,Second Class,Corporate,Arvada,West,Chairs,Colorado,FUR-CH-10004086,BP-11185,1
15.232,0.2,2016,9,0,3,0,2,Second Class,Corporate,Arvada,West,Furnishings,Colorado,FUR-FU-10001756,BP-11185,1
87.54,0.0,2014,9,5,3,0,6,Standard Class,Corporate,Hackensack,East,Furnishings,New Jersey,FUR-FU-10001588,TS-21205,1
135.882,0.1,2014,11,1,4,0,5,Standard Class,Home Office,New York City,East,Chairs,New York,FUR-CH-10002602,NM-18445,1
15.992,0.2,2017,11,4,4,0,2,Second Class,Corporate,Murfreesboro,South,Furnishings,Tennessee,FUR-FU-10001967,DJ-13510,1
786.744,0.3,2016,8,1,3,0,2,First Class,Consumer,Philadelphia,East,Chairs,Pennsylvania,FUR-CH-10003312,PO-18850,0
698.352,0.2,2014,7,5,3,0,5,Standard Class,Corporate,San Francisco,West,Tables,California,FUR-TA-10004575,AC-10420,0
388.704,0.2,2016,4,4,2,0,5,Standard Class,Consumer,New York City,East,Bookcases,New York,FUR-BO-10002268,JL-15505,0
488.646,0.1,2017,9,0,3,0,6,Standard Class,Consumer,New York City,East,Chairs,New York,FUR-CH-10000785,KW-16435,1
47.12,0.0,2017,9,0,3,0,6,Standard Class,Consumer,New York City,East,Furnishings,New York,FUR-FU-10000023,KW-16435,1
1043.92,0.0,2016,10,4,4,0,0,Same Day,Corporate,Manchester,East,Bookcases,Connecticut,FUR-BO-10002545,MK-17905,1
1488.424,0.3,2017,8,6,3,0,5,Standard Class,Corporate,Franklin,East,Tables,Massachusetts,FUR-TA-10004915,AR-10405,0
375.4575,0.45,2015,11,4,4,0,5,Standard Class,Consumer,Pembroke Pines,South,Tables,Florida,FUR-TA-10000617,DO-13435,0
2.96,0.2,2015,12,3,4,1,4,Standard Class,Corporate,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10001935,DK-13225,1
2396.2656,0.32,2016,9,3,3,0,2,Second Class,Consumer,Houston,Central,Bookcases,Texas,FUR-BO-10004834,AG-10675,0
1004.024,0.2,2017,12,4,4,1,4,Standard Class,Consumer,San Francisco,West,Tables,California,FUR-TA-10002041,KH-16510,0
1336.829,0.15,2017,12,4,4,1,4,Standard Class,Consumer,San Francisco,West,Bookcases,California,FUR-BO-10001972,KH-16510,1
113.568,0.2,2017,12,4,4,1,4,Standard Class,Consumer,San Francisco,West,Chairs,California,FUR-CH-10003956,KH-16510,0
307.136,0.2,2017,11,4,4,0,4,Standard Class,Corporate,Seattle,West,Chairs,Washington,FUR-CH-10001891,KC-16675,1
383.8,0.2,2016,4,3,2,0,4,Standard Class,Consumer,Los Angeles,West,Chairs,California,FUR-CH-10004886,PB-19150,1
56.56,0.0,2017,10,3,4,0,4,Standard Class,Corporate,Lawrence,East,Furnishings,Massachusetts,FUR-FU-10004712,MP-17965,1
866.4,0.0,2017,8,0,3,0,2,Second Class,Consumer,Jackson,South,Chairs,Mississippi,FUR-CH-10000015,NF-18385,1
28.4,0.0,2017,11,3,4,0,3,Second Class,Corporate,Canton,Central,Furnishings,Michigan,FUR-FU-10003347,JM-15265,1
207.846,0.1,2017,1,4,1,0,3,Second Class,Corporate,New York City,East,Chairs,New York,FUR-CH-10003396,CV-12805,1
12.22,0.0,2016,9,0,3,0,2,Second Class,Consumer,Detroit,Central,Furnishings,Michigan,FUR-FU-10000246,PK-19075,1
242.94,0.0,2016,9,0,3,0,2,Second Class,Consumer,Detroit,Central,Chairs,Michigan,FUR-CH-10002372,PK-19075,1
2.91,0.0,2017,3,0,1,0,5,Second Class,Consumer,Columbus,Central,Furnishings,Indiana,FUR-FU-10000206,TB-21595,1
284.364,0.4,2017,10,4,4,0,4,Standard Class,Corporate,Akron,East,Tables,Ohio,FUR-TA-10001539,EB-13705,0
129.568,0.2,2014,2,2,1,0,6,Standard Class,Consumer,Concord,West,Chairs,California,FUR-CH-10000225,SC-20095,0
747.558,0.3,2016,9,0,3,0,5,Standard Class,Consumer,Decatur,Central,Chairs,Illinois,FUR-CH-10002331,NF-18385,0
23.56,0.2,2016,4,4,2,0,7,Standard Class,Home Office,Phoenix,West,Furnishings,Arizona,FUR-FU-10000023,TN-21040,1
1272.63,0.5,2016,4,4,2,0,7,Standard Class,Home Office,Phoenix,West,Tables,Arizona,FUR-TA-10001889,TN-21040,0
254.744,0.6,2015,1,5,1,0,7,Standard Class,Home Office,Park Ridge,Central,Furnishings,Illinois,FUR-FU-10002918,JS-15940,0
205.3328,0.32,2017,3,4,1,0,4,Standard Class,Corporate,Amarillo,Central,Bookcases,Texas,FUR-BO-10002824,DS-13180,0
222.666,0.15,2014,11,6,4,0,2,Second Class,Consumer,San Francisco,West,Bookcases,California,FUR-BO-10001601,JP-15520,1
40.2,0.0,2016,10,3,4,0,6,Standard Class,Consumer,Troy,East,Furnishings,New York,FUR-FU-10002671,JE-15475,1
514.165,0.15,2017,6,5,2,0,3,First Class,Home Office,Los Angeles,West,Bookcases,California,FUR-BO-10001337,MT-18070,0
189.882,0.4,2016,3,4,1,0,3,Second Class,Consumer,Memphis,South,Tables,Tennessee,FUR-TA-10001857,RO-19780,0
255.76,0.0,2016,7,0,3,0,6,Standard Class,Consumer,Costa Mesa,West,Furnishings,California,FUR-FU-10004864,SC-20095,1
241.568,0.2,2016,7,0,3,0,6,Standard Class,Consumer,Costa Mesa,West,Chairs,California,FUR-CH-10002602,SC-20095,1
69.3,0.0,2016,7,0,3,0,6,Standard Class,Consumer,Costa Mesa,West,Furnishings,California,FUR-FU-10000073,SC-20095,1
801.568,0.2,2016,5,0,2,0,5,Standard Class,Corporate,Parker,West,Chairs,Colorado,FUR-CH-10001215,MY-17380,1
126.3,0.0,2017,11,6,4,0,1,First Class,Consumer,Gladstone,Central,Furnishings,Missouri,FUR-FU-10001290,LS-17245,1
210.98,0.0,2017,1,0,1,0,2,First Class,Corporate,Detroit,Central,Tables,Michigan,FUR-TA-10001857,MC-17605,1
683.952,0.2,2017,10,5,4,0,5,Standard Class,Home Office,Lakeland,South,Chairs,Florida,FUR-CH-10003379,PH-18790,1
45.696,0.2,2017,10,5,4,0,5,Standard Class,Home Office,Lakeland,South,Furnishings,Florida,FUR-FU-10001756,PH-18790,1
190.72,0.2,2015,11,5,4,0,2,Second Class,Corporate,Los Angeles,West,Chairs,California,FUR-CH-10000595,KB-16240,1
47.94,0.0,2017,9,3,3,0,4,Standard Class,Consumer,Los Angeles,West,Furnishings,California,FUR-FU-10000448,JC-15340,1
283.92,0.0,2015,12,0,4,1,4,Standard Class,Consumer,Henderson,South,Chairs,Kentucky,FUR-CH-10002647,DK-12985,1
66.112,0.6,2014,5,6,2,0,5,Standard Class,Consumer,Fort Worth,Central,Furnishings,Texas,FUR-FU-10000723,PG-18895,0
1121.568,0.2,2016,4,4,2,0,2,Second Class,Consumer,San Francisco,West,Chairs,California,FUR-CH-10002024,BD-11320,0
34.504,0.2,2017,9,0,3,0,1,First Class,Consumer,Jacksonville,South,Furnishings,Florida,FUR-FU-10003039,RC-19960,1
1335.68,0.2,2016,6,4,2,0,5,Standard Class,Consumer,Los Angeles,West,Tables,California,FUR-TA-10004256,OT-18730,0
42.6,0.0,2017,11,0,4,0,2,Second Class,Consumer,San Francisco,West,Furnishings,California,FUR-FU-10003347,LP-17080,1
13.128,0.2,2014,9,6,3,0,4,Second Class,Consumer,Tampa,South,Furnishings,Florida,FUR-FU-10004020,CA-12775,1
451.152,0.2,2017,10,6,4,0,7,Standard Class,Corporate,Seattle,West,Chairs,Washington,FUR-CH-10004997,EB-13840,0
8.792,0.6,2017,7,3,3,0,6,Standard Class,Consumer,Chicago,Central,Furnishings,Illinois,FUR-FU-10001475,CS-11950,0
70.98,0.0,2015,7,4,3,0,6,Standard Class,Consumer,Richmond,South,Chairs,Kentucky,FUR-CH-10003956,BD-11725,1
327.76,0.0,2014,8,4,3,0,7,Standard Class,Consumer,San Diego,West,Furnishings,California,FUR-FU-10001979,LR-16915,1
45.696,0.2,2014,3,5,1,0,4,Standard Class,Consumer,Tampa,South,Furnishings,Florida,FUR-FU-10001756,AS-10240,1
40.48,0.0,2017,8,4,3,0,5,Second Class,Corporate,New York City,East,Furnishings,New York,FUR-FU-10003849,NG-18355,1
9.94,0.0,2017,8,4,3,0,5,Second Class,Corporate,New York City,East,Furnishings,New York,FUR-FU-10000010,NG-18355,1
88.02,0.0,2017,8,4,3,0,5,Second Class,Corporate,New York City,East,Furnishings,New York,FUR-FU-10000521,NG-18355,1
301.96,0.0,2015,11,6,4,0,4,Standard Class,Corporate,Dearborn,Central,Chairs,Michigan,FUR-CH-10004853,SF-20965,1
35.56,0.0,2017,9,4,3,0,4,Standard Class,Home Office,New York City,East,Furnishings,New York,FUR-FU-10000221,MO-17800,1
392.94,0.0,2015,10,6,4,0,5,Second Class,Corporate,Warner Robins,South,Chairs,Georgia,FUR-CH-10001482,DJ-13420,1
1049.2,0.0,2016,5,4,2,0,5,Standard Class,Home Office,Vallejo,West,Furnishings,California,FUR-FU-10000576,RB-19465,1
18.84,0.0,2016,12,6,4,1,4,Standard Class,Corporate,Minneapolis,Central,Furnishings,Minnesota,FUR-FU-10000732,JD-16150,1
14.8,0.0,2016,12,6,4,1,5,Second Class,Corporate,Vancouver,West,Furnishings,Washington,FUR-FU-10001935,AR-10825,1
701.372,0.3,2016,9,0,3,0,0,Same Day,Home Office,Aurora,Central,Chairs,Illinois,FUR-CH-10001215,EH-14125,0
918.785,0.3,2015,8,0,3,0,4,Standard Class,Consumer,Arlington,Central,Tables,Texas,FUR-TA-10001768,CB-12025,0
30.36,0.2,2014,12,2,4,1,2,First Class,Consumer,Cleveland,East,Furnishings,Ohio,FUR-FU-10003096,RP-19390,1
23.976,0.6,2017,6,4,2,0,4,Standard Class,Home Office,Chicago,Central,Furnishings,Illinois,FUR-FU-10002759,MO-17800,0
108.925,0.5,2017,6,4,2,0,4,Standard Class,Home Office,Chicago,Central,Tables,Illinois,FUR-TA-10000688,MO-17800,0
82.524,0.6,2017,3,5,1,0,5,Standard Class,Consumer,Tyler,Central,Furnishings,Texas,FUR-FU-10003553,CD-11980,0
191.984,0.2,2017,12,0,4,1,4,Standard Class,Consumer,New York City,East,Bookcases,New York,FUR-BO-10004015,RA-19285,1
104.01,0.0,2014,6,5,2,0,2,Second Class,Consumer,Waynesboro,South,Furnishings,Virginia,FUR-FU-10004071,NP-18325,1
15.072,0.2,2017,9,5,3,0,6,Standard Class,Corporate,Cleveland,East,Furnishings,Ohio,FUR-FU-10002960,Dl-13600,1
209.88,0.0,2016,11,4,4,0,4,Second Class,Corporate,Seattle,West,Furnishings,Washington,FUR-FU-10003394,AS-10285,1
369.912,0.2,2015,4,3,2,0,5,Standard Class,Consumer,Long Beach,West,Tables,California,FUR-TA-10002774,JK-15370,0
883.92,0.2,2014,12,1,4,1,2,First Class,Consumer,New York City,East,Bookcases,New York,FUR-BO-10003272,DP-13165,0
9.94,0.0,2014,1,5,1,0,3,First Class,Consumer,Dover,East,Furnishings,Delaware,FUR-FU-10000010,SV-20365,1
103.056,0.2,2017,9,6,3,0,5,Standard Class,Consumer,Newark,East,Furnishings,Ohio,FUR-FU-10002253,KC-16540,1
73.32,0.0,2014,6,0,2,0,5,Standard Class,Home Office,Orem,West,Furnishings,Utah,FUR-FU-10000246,CK-12325,1
1652.94,0.0,2016,12,3,4,1,4,Standard Class,Corporate,Detroit,Central,Tables,Michigan,FUR-TA-10000198,MP-17965,1
129.92,0.2,2014,10,1,4,0,6,Standard Class,Home Office,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10000222,MR-17545,1
400.032,0.4,2016,12,5,4,1,3,First Class,Consumer,Oceanside,East,Tables,New York,FUR-TA-10002228,EG-13900,0
542.646,0.1,2016,12,5,4,1,3,First Class,Consumer,Oceanside,East,Chairs,New York,FUR-CH-10002965,EG-13900,1
84.98,0.0,2017,1,5,1,0,4,Standard Class,Home Office,Seattle,West,Bookcases,Washington,FUR-BO-10001619,DS-13030,1
567.12,0.2,2014,5,1,2,0,0,Same Day,Corporate,San Diego,West,Tables,California,FUR-TA-10002607,MH-17785,0
157.74,0.0,2017,10,0,4,0,4,Standard Class,Consumer,Trenton,Central,Furnishings,Michigan,FUR-FU-10003577,RF-19735,1
79.92,0.0,2015,12,0,4,1,5,Standard Class,Consumer,Los Angeles,West,Furnishings,California,FUR-FU-10002759,MS-17830,1
383.438,0.45,2016,9,6,3,0,4,Standard Class,Corporate,Jacksonville,South,Tables,Florida,FUR-TA-10001095,NB-18655,0
310.88,0.2,2014,5,2,2,0,6,Standard Class,Corporate,Saint Petersburg,South,Furnishings,Florida,FUR-FU-10004306,AJ-10795,1
641.96,0.0,2016,5,3,2,0,5,Standard Class,Consumer,Arlington,South,Chairs,Virginia,FUR-CH-10003746,LE-16810,1
34.58,0.0,2017,1,0,1,0,6,Standard Class,Corporate,Des Moines,Central,Furnishings,Iowa,FUR-FU-10002597,BV-11245,1
544.008,0.2,2015,8,4,3,0,2,First Class,Home Office,San Francisco,West,Chairs,California,FUR-CH-10002335,NZ-18565,1
35.49,0.5,2015,10,5,4,0,3,Second Class,Consumer,Columbus,East,Bookcases,Ohio,FUR-BO-10004409,BM-11785,0
348.928,0.2,2015,12,5,4,1,4,Standard Class,Consumer,Lancaster,West,Chairs,California,FUR-CH-10004675,LT-17110,1
332.94,0.0,2015,6,4,2,0,4,Standard Class,Consumer,Richmond,South,Chairs,Virginia,FUR-CH-10003199,SA-20830,1
283.92,0.2,2015,11,4,4,0,6,Standard Class,Consumer,Lake Elsinore,West,Chairs,California,FUR-CH-10002647,CD-11920,1
22.23,0.0,2017,2,0,1,0,3,First Class,Corporate,San Diego,West,Furnishings,California,FUR-FU-10004090,HW-14935,1
18.28,0.0,2017,4,5,2,0,2,First Class,Consumer,San Francisco,West,Furnishings,California,FUR-FU-10000794,GM-14440,1
28.4,0.0,2015,2,1,1,0,2,First Class,Consumer,Omaha,Central,Furnishings,Nebraska,FUR-FU-10003347,AA-10375,1
1298.55,0.0,2014,10,0,4,0,2,First Class,Consumer,Edmonds,West,Tables,Washington,FUR-TA-10002903,ZC-21910,1
18.28,0.0,2017,5,6,2,0,0,Same Day,Consumer,Santa Ana,West,Furnishings,California,FUR-FU-10000794,PJ-19015,1
1228.465,0.3,2014,6,5,2,0,4,Standard Class,Consumer,Philadelphia,East,Chairs,Pennsylvania,FUR-CH-10001394,CA-12775,0
301.96,0.0,2017,6,4,2,0,5,Second Class,Consumer,Florence,South,Chairs,Kentucky,FUR-CH-10000665,JE-15745,1
186.048,0.2,2015,11,4,4,0,5,Standard Class,Corporate,New York City,East,Bookcases,New York,FUR-BO-10001519,BM-11650,1
287.94,0.0,2015,10,1,4,0,4,Standard Class,Consumer,Louisville,South,Chairs,Kentucky,FUR-CH-10001891,AF-10885,1
48.896,0.2,2017,1,6,1,0,5,Standard Class,Consumer,Lorain,East,Furnishings,Ohio,FUR-FU-10003878,GA-14725,1
44.46,0.0,2016,2,4,1,0,5,Standard Class,Consumer,New York City,East,Furnishings,New York,FUR-FU-10004090,GT-14710,1
51.94,0.0,2014,1,4,1,0,5,Standard Class,Corporate,Springfield,South,Furnishings,Virginia,FUR-FU-10000965,AJ-10780,1
322.59,0.0,2016,1,6,1,0,4,Standard Class,Home Office,Concord,East,Furnishings,New Hampshire,FUR-FU-10004017,CC-12430,1
1242.9,0.1,2017,11,3,4,0,2,Second Class,Home Office,New York City,East,Chairs,New York,FUR-CH-10004287,HP-14815,1
31.4,0.0,2016,10,5,4,0,2,First Class,Home Office,Detroit,Central,Furnishings,Michigan,FUR-FU-10000732,PM-19135,1
17.46,0.0,2014,4,1,2,0,5,Standard Class,Consumer,Rochester,East,Furnishings,New York,FUR-FU-10001424,LL-16840,1
323.136,0.2,2017,12,5,4,1,4,Standard Class,Consumer,New York City,East,Bookcases,New York,FUR-BO-10003441,PO-18865,1
22.2,0.0,2015,5,6,2,0,7,Standard Class,Home Office,Norwich,East,Furnishings,Connecticut,FUR-FU-10001935,SC-20050,1
46.94,0.0,2017,11,0,4,0,2,First Class,Corporate,Milwaukee,Central,Furnishings,Wisconsin,FUR-FU-10004091,BM-11650,1
99.918,0.3,2014,6,6,2,0,6,Standard Class,Corporate,San Antonio,Central,Tables,Texas,FUR-TA-10001520,KL-16555,0
797.944,0.3,2014,6,6,2,0,6,Standard Class,Corporate,San Antonio,Central,Chairs,Texas,FUR-CH-10003379,KL-16555,0
1114.272,0.2,2016,12,1,4,1,7,Standard Class,Corporate,Torrance,West,Tables,California,FUR-TA-10000577,RW-19630,1
393.165,0.5,2015,7,6,3,0,2,First Class,Consumer,Mesa,West,Tables,Arizona,FUR-TA-10002356,CA-12775,0
516.488,0.2,2017,11,1,4,0,4,Standard Class,Home Office,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10003601,RB-19795,0
1007.232,0.2,2017,11,1,4,0,4,Standard Class,Home Office,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10000576,RB-19795,1
2065.32,0.4,2017,11,1,4,0,4,Standard Class,Home Office,Philadelphia,East,Tables,Pennsylvania,FUR-TA-10004154,RB-19795,0
25.472,0.2,2017,4,0,2,0,4,Standard Class,Consumer,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10001940,KH-16360,1
78.8528,0.32,2017,12,3,4,1,4,Standard Class,Consumer,Round Rock,Central,Bookcases,Texas,FUR-BO-10004709,GH-14665,0
204.6,0.0,2015,9,1,3,0,0,Same Day,Consumer,Oceanside,West,Furnishings,California,FUR-FU-10004188,DL-12925,1
321.568,0.2,2017,11,1,4,0,5,Standard Class,Corporate,San Francisco,West,Chairs,California,FUR-CH-10002965,LW-16990,1
127.104,0.2,2014,1,3,1,0,2,Second Class,Consumer,Philadelphia,East,Furnishings,Pennsylvania,FUR-FU-10001095,DL-13315,1
599.292,0.1,2016,10,0,4,0,5,Standard Class,Consumer,New York City,East,Chairs,New York,FUR-CH-10003199,EB-13870,1
